4/23 10:44:3  step===26400, Epoch 1/1000, accuracy = 0.376,avg_train_cost = 0.114, lastbatch_err = 0.353, time = 160.936,lr=0.00770043
4/23 10:45:16  step===26450, Epoch 1/1000, accuracy = 0.370,avg_train_cost = 0.112, lastbatch_err = 0.340, time = 233.862,lr=0.00770043
4/23 10:46:29  step===26500, Epoch 2/1000, accuracy = 0.359,avg_train_cost = 0.074, lastbatch_err = 0.350, time = 51.463,lr=0.00770043
4/23 10:47:42  step===26550, Epoch 2/1000, accuracy = 0.347,avg_train_cost = 0.070, lastbatch_err = 0.362, time = 124.514,lr=0.00770043
4/23 10:48:56  step===26600, Epoch 2/1000, accuracy = 0.361,avg_train_cost = 0.070, lastbatch_err = 0.346, time = 197.769,lr=0.00770043
4/23 10:50:9  step===26650, Epoch 3/1000, accuracy = 0.361,avg_train_cost = 0.052, lastbatch_err = 0.344, time = 29.391,lr=0.00770043
4/23 10:51:22  step===26700, Epoch 3/1000, accuracy = 0.349,avg_train_cost = 0.050, lastbatch_err = 0.356, time = 102.558,lr=0.00770043
4/23 10:52:35  step===26750, Epoch 3/1000, accuracy = 0.359,avg_train_cost = 0.049, lastbatch_err = 0.350, time = 175.411,lr=0.00770043
4/23 10:53:48  step===26800, Epoch 4/1000, accuracy = 0.358,avg_train_cost = 0.035, lastbatch_err = 0.347, time = 7.979,lr=0.00770043
4/23 10:55:1  step===26850, Epoch 4/1000, accuracy = 0.359,avg_train_cost = 0.043, lastbatch_err = 0.348, time = 80.835,lr=0.00770043
4/23 10:56:14  step===26900, Epoch 4/1000, accuracy = 0.365,avg_train_cost = 0.043, lastbatch_err = 0.349, time = 154.257,lr=0.00770043
4/23 10:57:27  step===26950, Epoch 4/1000, accuracy = 0.356,avg_train_cost = 0.041, lastbatch_err = 0.355, time = 227.146,lr=0.00770043
4/23 10:58:40  step===27000, Epoch 5/1000, accuracy = 0.364,avg_train_cost = 0.036, lastbatch_err = 0.350, time = 54.138,lr=0.00762343
4/23 10:59:53  step===27050, Epoch 5/1000, accuracy = 0.356,avg_train_cost = 0.036, lastbatch_err = 0.353, time = 127.096,lr=0.00762343
